"","countries","count_paper","count_patent","pap_log","pat_log"
"1","Afghanistan",8,0,2.19722457733622,0
"2","Albania",9,0,2.30258509299405,0
"3","Algeria",82,0,4.4188406077966,0
"4","Andorra",2,0,1.09861228866811,0
"5","Angola",2,0,1.09861228866811,0
"6","Anguilla",1,0,0.693147180559945,0
"7","Argentina",2166,18,7.68109900153636,2.94443897916644
"8","Armenia",46,0,3.85014760171006,0
"9","Aruba",1,0,0.693147180559945,0
"10","Australia",12116,441,9.40236470423152,6.0913098820777
"11","Austria",4379,187,8.38480400337049,5.23644196282995
"12","Azerbaijan",10,0,2.39789527279837,0
"13","Bahrain",30,0,3.43398720448515,0
"14","Bangladesh",296,1,5.6937321388027,0.693147180559945
"15","Barbados",4,0,1.6094379124341,0
"16","Belarus",60,1,4.11087386417331,0.693147180559945
"17","Belgium",5442,360,8.6020856584342,5.88887795833288
"18","Benin",22,0,3.13549421592915,0
"19","Bermuda",2,0,1.09861228866811,0
"20","Bhutan",1,0,0.693147180559945,0
"21","Bolivia",15,0,2.77258872223978,0
"22","Bosnia and Herzegovina",24,0,3.2188758248682,0
"23","Botswana",6,0,1.94591014905531,0
"24","Brazil",6585,28,8.79270146293631,3.36729582998647
"25","Brunei Darussalam",5,0,1.79175946922805,0
"26","Bulgaria",240,4,5.48479693349065,1.6094379124341
"27","Burkina Faso",20,0,3.04452243772342,0
"28","Cambodia",8,0,2.19722457733622,0
"29","Cameroon",43,0,3.78418963391826,0
"30","Canada",23064,923,10.0460715959919,6.82871207164168
"31","Cayman Islands",2,0,1.09861228866811,0
"32","Central African Republic",4,0,1.6094379124341,0
"33","Chile",1375,19,7.22693601849329,2.99573227355399
"34","China",132856,399,11.7970286408047,5.99146454710798
"35","Colombia",370,3,5.91620206260743,1.38629436111989
"36","Congo",6,0,1.94591014905531,0
"37","Costa Rica",46,1,3.85014760171006,0.693147180559945
"38","Cote d'Ivoire",10,1,2.39789527279837,0.693147180559945
"39","Croatia",402,1,5.99893656194668,0.693147180559945
"40","Cuba",114,5,4.74493212836325,1.79175946922805
"41","Curaçao",1,0,0.693147180559945,0
"42","Cyprus",107,2,4.68213122712422,1.09861228866811
"43","Czech Republic",2151,7,7.67415292128168,2.07944154167984
"44","Democratic Republic Congo",4,0,1.6094379124341,0
"45","Denmark",5320,286,8.57941653459637,5.65948221575962
"46","Dominica",1,0,0.693147180559945,0
"47","Dominican Republic",7,1,2.07944154167984,0.693147180559945
"48","Ecuador",50,0,3.93182563272433,0
"49","Egypt",2609,6,7.86710550031674,1.94591014905531
"50","El Salvador",5,0,1.79175946922805,0
"51","Eritrea",3,0,1.38629436111989,0
"52","Estonia",320,12,5.77144112313002,2.56494935746154
"53","Ethiopia",65,0,4.18965474202643,0
"54","Faroe Islands",1,0,0.693147180559945,0
"55","Fiji",4,0,1.6094379124341,0
"56","Finland",4420,95,8.39412119382624,4.56434819146784
"57","France",23511,955,10.0652662080988,6.8627579130514
"58","French Guiana",10,0,2.39789527279837,0
"59","French Polynesia",13,0,2.63905732961526,0
"60","Gabon",15,1,2.77258872223978,0.693147180559945
"61","Gambia",18,0,2.94443897916644,0
"62","Georgia",35,1,3.58351893845611,0.693147180559945
"63","Germany",38562,2093,10.560048546528,7.64683139143048
"64","Ghana",62,1,4.14313472639153,0.693147180559945
"65","Greece",2148,12,7.67275789664251,2.56494935746154
"66","Greenland",4,0,1.6094379124341,0
"67","Grenada",9,0,2.30258509299405,0
"68","Guadeloupe",8,0,2.19722457733622,0
"69","Guatemala",12,0,2.56494935746154,0
"70","Guinea",6,0,1.94591014905531,0
"71","Guinea-Bissau",1,0,0.693147180559945,0
"72","Guyana",3,0,1.38629436111989,0
"73","Haiti",1,0,0.693147180559945,0
"74","Honduras",5,0,1.79175946922805,0
"75","Hong Kong",2865,43,7.96067260838812,3.78418963391826
"76","Hungary",2101,17,7.6506445514369,2.89037175789616
"77","Iceland",116,6,4.76217393479776,1.94591014905531
"78","India",6976,125,8.85037430393924,4.83628190695148
"79","Indonesia",617,2,6.42648845745769,1.09861228866811
"80","Iran",4493,11,8.41049845274527,2.484906649788
"81","Iraq",180,0,5.19849703126583,0
"82","Ireland",1797,46,7.49443021503157,3.85014760171006
"83","Israel",5072,398,8.53168763756669,5.98896141688986
"84","Italy",17519,236,9.77109836449038,5.46806014113513
"85","Jamaica",13,1,2.63905732961526,0.693147180559945
"86","Japan",64272,1516,11.0708949153528,7.32448997934853
"87","Jordan",155,0,5.04985600724954,0
"88","Kazakhstan",65,1,4.18965474202643,0.693147180559945
"89","Kenya",123,2,4.82028156560504,1.09861228866811
"90","Kuwait",207,2,5.33753807970132,1.09861228866811
"91","Kyrgyzstan",9,0,2.30258509299405,0
"92","Laos",13,0,2.63905732961526,0
"93","Latvia",59,5,4.0943445622221,1.79175946922805
"94","Lebanon",198,2,5.29330482472449,1.09861228866811
"95","Liberia",3,0,1.38629436111989,0
"96","Libyan Arab Jamahiriya",25,0,3.25809653802148,0
"97","Liechtenstein",5,4,1.79175946922805,1.6094379124341
"98","Lithuania",133,14,4.89783979995091,2.70805020110221
"99","Luxembourg",191,4,5.25749537202778,1.6094379124341
"100","Macao",274,1,5.61677109766657,0.693147180559945
"101","Macedonia",1,0,0.693147180559945,0
"102","Madagascar",4,0,1.6094379124341,0
"103","Malawi",23,0,3.17805383034795,0
"104","Malaysia",961,9,6.86901445066571,2.30258509299405
"105","Mali",12,1,2.56494935746154,0.693147180559945
"106","Malta",18,1,2.94443897916644,0.693147180559945
"107","Martinique",4,0,1.6094379124341,0
"108","Mauritania",2,0,1.09861228866811,0
"109","Mauritius",5,0,1.79175946922805,0
"110","Mexico",2643,28,7.88004820097158,3.36729582998647
"111","Moldova",7,0,2.07944154167984,0
"112","Monaco",16,1,2.83321334405622,0.693147180559945
"113","Mongolia",42,0,3.76120011569356,0
"114","Montenegro",2,0,1.09861228866811,0
"115","Morocco",113,1,4.7361984483945,0.693147180559945
"116","Mozambique",7,0,2.07944154167984,0
"117","Myanmar",20,0,3.04452243772342,0
"118","Namibia",3,0,1.38629436111989,0
"119","Nepal",61,0,4.12713438504509,0
"120","Netherlands",10325,417,9.24242026543959,6.03548143252476
"121","Netherlands Antilles",2,0,1.09861228866811,0
"122","New Caledonia",9,0,2.30258509299405,0
"123","New Zealand",1622,59,7.39203156751459,4.0943445622221
"124","Nicaragua",5,0,1.79175946922805,0
"125","Niger",1,0,0.693147180559945,0
"126","Nigeria",202,1,5.31320597904179,0.693147180559945
"127","North Korea",6,0,1.94591014905531,0
"128","North Macedonia",27,0,3.3322045101752,0
"129","Norway",3350,97,8.11701408773731,4.58496747867057
"130","Oman",68,0,4.23410650459726,0
"131","Pakistan",819,1,6.7093043402583,0.693147180559945
"132","Palestine",34,0,3.55534806148941,0
"133","Panama",11,0,2.484906649788,0
"134","Papua New Guinea",6,0,1.94591014905531,0
"135","Paraguay",12,0,2.56494935746154,0
"136","Peru",82,0,4.4188406077966,0
"137","Philippines",150,1,5.01727983681492,0.693147180559945
"138","Poland",5576,33,8.62640627638955,3.52636052461616
"139","Portugal",1786,15,7.48829351515943,2.77258872223978
"140","Puerto Rico",177,0,5.18178355029209,0
"141","Qatar",186,1,5.23110861685459,0.693147180559945
"142","Reunion",3,0,1.38629436111989,0
"143","Romania",322,0,5.77765232322266,0
"144","Russian Federation",4023,75,8.30003171177957,4.33073334028633
"145","Rwanda",8,0,2.19722457733622,0
"146","Saint Kitts and Nevis",10,0,2.39789527279837,0
"147","Saint Lucia",1,0,0.693147180559945,0
"148","Saint Vincent and the Grenadines",2,0,1.09861228866811,0
"149","Samoa",1,0,0.693147180559945,0
"150","San Marino",2,0,1.09861228866811,0
"151","Saudi Arabia",1684,16,7.42952084278646,2.83321334405622
"152","Senegal",15,0,2.77258872223978,0
"153","Serbia",514,2,6.24416690066374,1.09861228866811
"154","Sierra Leone",2,0,1.09861228866811,0
"155","Singapore",2011,96,7.60688453121963,4.57471097850338
"156","Slovakia",741,9,6.60934924316738,2.30258509299405
"157","Slovenia",409,5,6.01615715969835,1.79175946922805
"158","South Africa",758,14,6.63200177739563,2.70805020110221
"159","South Georgia and the South Sandwich Islands",1,0,0.693147180559945,0
"160","South Korea",18809,512,9.84214392229508,6.24027584517077
"161","Spain",12336,153,9.42035815607147,5.03695260241363
"162","Sri Lanka",95,3,4.56434819146784,1.38629436111989
"163","Sudan",90,0,4.51085950651685,0
"164","Suriname",1,0,0.693147180559945,0
"165","Swaziland",1,0,0.693147180559945,0
"166","Sweden",10994,245,9.30519590298886,5.50533153593236
"167","Switzerland",9969,451,9.20733586295588,6.11368217983223
"168","Syrian Arab Republic",30,0,3.43398720448515,0
"169","Taiwan",8099,231,8.99961934066053,5.44673737166631
"170","Tanzania",43,0,3.78418963391826,0
"171","Thailand",1950,8,7.57609734062311,2.19722457733622
"172","Togo",1,0,0.693147180559945,0
"173","Trinidad and Tobago",9,0,2.30258509299405,0
"174","Tunisia",404,1,6.00388706710654,0.693147180559945
"175","Turkey",2123,7,7.66105638236183,2.07944154167984
"176","Turkmenistan",3,0,1.38629436111989,0
"177","Turks & Caicos Islands",0,4,0,1.6094379124341
"178","Uganda",40,0,3.71357206670431,0
"179","Ukraine",437,9,6.08221891037645,2.30258509299405
"180","United Arab Emirates",205,0,5.32787616878958,0
"181","United Kingdom",28806,1001,10.2683736921464,6.90975328164481
"182","United States",178683,19846,12.0933741616046,9.89580814119226
"183","Uruguay",217,0,5.38449506278909,0
"184","Uzbekistan",12,7,2.56494935746154,2.07944154167984
"185","Venezuela",124,1,4.8283137373023,0.693147180559945
"186","Vietnam",272,4,5.60947179518496,1.6094379124341
"187","Virgin Islands (U.S.)",2,0,1.09861228866811,0
"188","Yemen",21,0,3.09104245335832,0
"189","Zambia",26,0,3.29583686600433,0
"190","Zimbabwe",10,0,2.39789527279837,0
